,target
0,7.419
1,8.46023
2,8.108
3,8.4
4,8.0138
5,7.8348
6,8.381
7,8.475
8,8.04
9,8.1315
10,8.1616
11,8.31
12,8.505
13,8.228
14,8.25
15,8.2833
16,8.1448
17,8.096
18,8.346
19,7.8444
20,8.0294
21,8.139
22,7.824
23,8.4769
24,8.635
25,8.1725
26,8.0007
27,8.1709
